"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 19 22:50:19 COT 2024","Wed Jun 19 22:50:38 COT 2024","19701","","","","","","Navigate and check dropdown",""
"passed","Wed Jun 19 22:49:41 COT 2024","Wed Jun 19 22:49:46 COT 2024","4689","","","","","","Navigate between countries and validate the URL -- @1.2 ",""
"passed","Wed Jun 19 22:50:02 COT 2024","Wed Jun 19 22:50:07 COT 2024","4660","","","","","","Navigate between -- @1.3 ",""
"passed","Wed Jun 19 22:49:56 COT 2024","Wed Jun 19 22:50:02 COT 2024","5633","","","","","","Navigate between -- @1.2 ",""
"passed","Wed Jun 19 22:50:07 COT 2024","Wed Jun 19 22:50:10 COT 2024","3708","","","","","","Navigate between -- @1.4 ",""
"passed","Wed Jun 19 22:49:51 COT 2024","Wed Jun 19 22:49:56 COT 2024","5059","","","","","","Navigate between -- @1.1 ",""
"passed","Wed Jun 19 22:50:10 COT 2024","Wed Jun 19 22:50:14 COT 2024","3767","","","","","","Navigate between -- @1.5 ",""
"passed","Wed Jun 19 22:49:35 COT 2024","Wed Jun 19 22:49:41 COT 2024","5757","","","","","","Navigate between countries and validate the URL -- @1.1 ",""
"passed","Wed Jun 19 22:49:46 COT 2024","Wed Jun 19 22:49:51 COT 2024","5520","","","","","","Navigate between countries and validate the URL -- @1.3 ",""
"passed","Wed Jun 19 22:49:32 COT 2024","Wed Jun 19 22:49:35 COT 2024","2915","","","","","","Validate URL of Home page",""
"passed","Wed Jun 19 22:50:14 COT 2024","Wed Jun 19 22:50:19 COT 2024","4380","","","","","","Navigate between -- @1.6 ",""
"passed","Wed Jun 19 22:49:26 COT 2024","Wed Jun 19 22:49:32 COT 2024","6392","","","","","","Navigate to the Kayak home page and validate principal elements",""
